date,city,precipitation
2020-01-01,Seattle,0.13799999999999998
2020-01-02,Seattle,0.29000000000000004
2020-01-03,Seattle,0.276
2020-01-04,Seattle,0.125
2020-01-05,Seattle,0.1875
2020-01-06,Seattle,0.17
2020-01-07,Seattle,0.44333333333333336
2020-01-08,Seattle,0.044
2020-01-09,Seattle,0.03333333333333333
2020-01-10,Seattle,0.18500000000000003
2020-01-11,Seattle,0.37166666666666665
2020-01-12,Seattle,0.414
2020-01-13,Seattle,0.252
2020-01-14,Seattle,0.15599999999999997
2020-01-15,Seattle,0.026000000000000002
2020-01-16,Seattle,0.054000000000000006
2020-01-17,Seattle,0.01
2020-01-18,Seattle,0.49500000000000005
2020-01-19,Seattle,0.055999999999999994
2020-01-20,Seattle,0.042
2020-01-21,Seattle,0.298
2020-01-22,Seattle,0.6060000000000001
2020-01-23,Seattle,0.5283333333333333
2020-01-24,Seattle,0.8416666666666667
2020-01-25,Seattle,0.252
2020-01-26,Seattle,0.3
2020-01-27,Seattle,0.19166666666666665
2020-01-28,Seattle,0.9466666666666667
2020-01-29,Seattle,0.17
2020-01-30,Seattle,0.25833333333333336
2020-01-31,Seattle,0.31
2020-02-01,Seattle,1.22
2020-02-02,Seattle,0.10800000000000001
2020-02-03,Seattle,0.052000000000000005
2020-02-04,Seattle,0.005
2020-02-05,Seattle,0.6733333333333333
2020-02-06,Seattle,1.2566666666666666
2020-02-07,Seattle,0.49333333333333335
2020-02-08,Seattle,0.16333333333333333
2020-02-09,Seattle,0.02
2020-02-10,Seattle,0.002
2020-02-11,Seattle,0.0025
2020-02-12,Seattle,0.025
2020-02-13,Seattle,0.0033333333333333335
2020-02-14,Seattle,0.16666666666666666
2020-02-15,Seattle,0.085
2020-02-16,Seattle,0.145
2020-02-17,Seattle,0.03333333333333333
2020-02-18,Seattle,0.0
2020-02-19,Seattle,0.0
2020-02-20,Seattle,0.006666666666666667
2020-02-21,Seattle,0.0
2020-02-22,Seattle,0.023333333333333334
2020-02-23,Seattle,0.245
2020-02-24,Seattle,0.03666666666666667
2020-02-25,Seattle,0.0025
2020-02-26,Seattle,0.02
2020-02-27,Seattle,0.002
2020-02-28,Seattle,0.018
2020-02-29,Seattle,0.10200000000000001
2020-03-01,Seattle,0.025
2020-03-02,Seattle,0.022
2020-03-03,Seattle,0.186
2020-03-04,Seattle,0.0325
2020-03-05,Seattle,0.0675
2020-03-06,Seattle,0.6875
2020-03-07,Seattle,0.08
2020-03-08,Seattle,0.12
2020-03-09,Seattle,0.013333333333333334
2020-03-10,Seattle,0.0
2020-03-11,Seattle,0.05
2020-03-12,Seattle,0.03
2020-03-13,Seattle,0.16
2020-03-14,Seattle,0.22199999999999998
2020-03-15,Seattle,0.0
2020-03-16,Seattle,0.0
2020-03-17,Seattle,0.0
2020-03-18,Seattle,0.0
2020-03-19,Seattle,0.0
2020-03-20,Seattle,0.0
2020-03-21,Seattle,0.0
2020-03-22,Seattle,0.0
2020-03-23,Seattle,0.025
2020-03-24,Seattle,0.018
2020-03-25,Seattle,0.445
2020-03-26,Seattle,0.0625
2020-03-27,Seattle,0.02
2020-03-28,Seattle,0.08166666666666668
2020-03-29,Seattle,0.6383333333333333
2020-03-30,Seattle,0.375
2020-03-31,Seattle,0.20400000000000001
2020-04-01,Seattle,0.178
2020-04-02,Seattle,0.0225
2020-04-03,Seattle,0.012
2020-04-04,Seattle,0.076
2020-04-05,Seattle,0.006666666666666667
2020-04-06,Seattle,0.0
2020-04-07,Seattle,0.0
2020-04-08,Seattle,0.0
2020-04-09,Seattle,0.0
2020-04-10,Seattle,0.0
2020-04-11,Seattle,0.0016666666666666668
2020-04-12,Seattle,0.0
2020-04-13,Seattle,0.0
2020-04-14,Seattle,0.0
2020-04-15,Seattle,0.0
2020-04-16,Seattle,0.0
2020-04-17,Seattle,0.0
2020-04-18,Seattle,0.10600000000000001
2020-04-19,Seattle,0.18166666666666667
2020-04-20,Seattle,0.0
2020-04-21,Seattle,0.0
2020-04-22,Seattle,0.1625
2020-04-23,Seattle,0.666
2020-04-24,Seattle,0.10600000000000001
2020-04-25,Seattle,0.21333333333333335
2020-04-26,Seattle,0.174
2020-04-27,Seattle,0.198
2020-04-28,Seattle,0.0025
2020-04-29,Seattle,0.0175
2020-04-30,Seattle,0.025
2020-05-01,Seattle,0.002
2020-05-02,Seattle,0.098
2020-05-03,Seattle,0.24
2020-05-04,Seattle,0.0275
2020-05-05,Seattle,0.0
2020-05-06,Seattle,0.03
2020-05-07,Seattle,0.0275
2020-05-08,Seattle,0.0
2020-05-09,Seattle,0.0
2020-05-10,Seattle,0.0
2020-05-11,Seattle,0.0033333333333333335
2020-05-12,Seattle,0.11499999999999999
2020-05-13,Seattle,0.015
2020-05-14,Seattle,0.055
2020-05-15,Seattle,0.12
2020-05-16,Seattle,0.19666666666666668
2020-05-17,Seattle,0.49400000000000005
2020-05-18,Seattle,0.01
2020-05-19,Seattle,0.0
2020-05-20,Seattle,0.0
2020-05-21,Seattle,0.46749999999999997
2020-05-22,Seattle,0.1
2020-05-23,Seattle,0.26333333333333336
2020-05-24,Seattle,0.0
2020-05-25,Seattle,0.0775
2020-05-26,Seattle,0.1
2020-05-27,Seattle,0.02666666666666667
2020-05-28,Seattle,0.0
2020-05-29,Seattle,0.0
2020-05-30,Seattle,0.0
2020-05-31,Seattle,0.9720000000000001
2020-06-01,Seattle,0.082
2020-06-02,Seattle,0.0
2020-06-03,Seattle,0.016666666666666666
2020-06-04,Seattle,0.0
2020-06-05,Seattle,0.0
2020-06-06,Seattle,0.0
2020-06-07,Seattle,0.17250000000000001
2020-06-08,Seattle,0.055
2020-06-09,Seattle,0.18
2020-06-10,Seattle,0.1225
2020-06-11,Seattle,0.055
2020-06-12,Seattle,0.15500000000000003
2020-06-13,Seattle,0.1875
2020-06-14,Seattle,0.245
2020-06-15,Seattle,0.10333333333333333
2020-06-16,Seattle,0.10200000000000001
2020-06-17,Seattle,0.0025
2020-06-18,Seattle,0.0
2020-06-19,Seattle,0.0
2020-06-20,Seattle,0.023333333333333334
2020-06-21,Seattle,0.054000000000000006
2020-06-22,Seattle,0.0
2020-06-23,Seattle,0.0
2020-06-24,Seattle,0.0
2020-06-25,Seattle,0.0
2020-06-26,Seattle,0.0
2020-06-27,Seattle,0.19000000000000003
2020-06-28,Seattle,0.645
2020-06-29,Seattle,0.01
2020-06-30,Seattle,0.0625
2020-07-01,Seattle,0.06666666666666667
2020-07-02,Seattle,0.013333333333333334
2020-07-03,Seattle,0.0075
2020-07-04,Seattle,0.0025
2020-07-05,Seattle,0.0
2020-07-06,Seattle,0.0
2020-07-07,Seattle,0.0
2020-07-08,Seattle,0.0
2020-07-09,Seattle,0.015000000000000001
2020-07-10,Seattle,0.01
2020-07-11,Seattle,0.0033333333333333335
2020-07-12,Seattle,0.05600000000000001
2020-07-13,Seattle,0.03333333333333333
2020-07-14,Seattle,0.0
2020-07-15,Seattle,0.0
2020-07-16,Seattle,0.0
2020-07-17,Seattle,0.05666666666666667
2020-07-18,Seattle,0.006666666666666667
2020-07-19,Seattle,0.0
2020-07-20,Seattle,0.0
2020-07-21,Seattle,0.0
2020-07-22,Seattle,0.03
2020-07-23,Seattle,0.006666666666666667
2020-07-24,Seattle,0.01
2020-07-25,Seattle,0.0
2020-07-26,Seattle,0.0
2020-07-27,Seattle,0.0
2020-07-28,Seattle,0.0
2020-07-29,Seattle,0.0
2020-07-30,Seattle,0.0
2020-07-31,Seattle,0.0
2020-08-01,Seattle,0.0
2020-08-02,Seattle,0.0
